id,expert_id,batch_id,item_type,item_id,action,details,created_at,updated_at,duration_seconds
73,2,2,feedback_likert,FB-030,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 5, ""student_readiness_score"": 1, ""usefulness_score"": 5, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T15:05:53,2026-06-13T15:05:53,43.78444814682007
72,2,2,feedback_likert,FB-029,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-13T15:05:09,2026-06-13T15:05:09,30.08733558654785
71,2,2,feedback_likert,FB-028,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-13T15:04:39,2026-06-13T15:04:39,38.35097813606262
70,2,2,feedback_likert,FB-027,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T15:04:00,2026-06-13T15:04:00,40.494805097579956
69,2,2,feedback_likert,FB-026,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T15:03:20,2026-06-13T15:03:20,33.07804274559021
68,2,2,feedback_likert,FB-025,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-13T15:02:47,2026-06-13T15:02:47,73.97619199752808
67,2,2,feedback_likert,FB-024,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-13T15:01:33,2026-06-13T15:01:33,50.67267370223999
66,2,2,feedback_likert,FB-023,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 5, ""direct_release_score"": 1}",2026-06-13T15:00:42,2026-06-13T15:00:42,53.853872776031494
65,2,2,feedback_likert,FB-022,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T14:59:48,2026-06-13T14:59:48,132.45063734054565
64,2,2,feedback_likert,FB-021,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-13T14:57:35,2026-06-13T14:57:35,225.2799572944641
