id,expert_id,batch_id,feedback_item_id,essay_id,correctness_score,meaning_preservation_score,student_readiness_score,usefulness_score,clarity_score,direct_release_score,created_at,updated_at,duration_seconds
12,2,1,FB-012,ESL-ANN-003,5,5,5,5,5,5,2026-06-11T08:43:26,2026-06-11T08:43:26,101.2543830871582
11,2,1,FB-011,ESL-ANN-003,1,1,1,1,5,1,2026-06-11T08:41:41,2026-06-11T08:41:41,49.587921380996704
10,2,1,FB-010,ESL-ANN-003,1,5,1,1,5,1,2026-06-11T08:40:47,2026-06-11T08:40:47,113.51343488693237
9,2,1,FB-009,ESL-ANN-003,3,5,5,4,5,5,2026-06-11T08:38:47,2026-06-11T08:38:47,152.25081586837769
8,2,1,FB-008,ESL-ANN-002,1,1,1,1,5,1,2026-06-11T08:36:09,2026-06-11T08:36:09,54.93727207183838
7,2,1,FB-007,ESL-ANN-002,1,1,1,1,5,1,2026-06-11T08:35:10,2026-06-11T08:35:10,146.91478753089905
6,2,1,FB-006,ESL-ANN-002,5,5,5,4,5,5,2026-06-11T08:32:36,2026-06-11T08:32:36,55.698357343673706
5,2,1,FB-005,ESL-ANN-002,1,1,1,1,5,1,2026-06-11T08:31:36,2026-06-11T08:31:36,71.56855702400208
4,2,1,FB-004,ESL-ANN-001,5,5,5,5,5,5,2026-06-11T08:30:19,2026-06-11T08:30:19,79.96244740486145
3,2,1,FB-003,ESL-ANN-001,1,1,2,1,5,1,2026-06-11T08:28:53,2026-06-11T08:28:53,111.09591484069824
2,2,1,FB-002,ESL-ANN-001,5,4,5,4,5,5,2026-06-11T08:26:56,2026-06-11T08:26:56,14.397898197174072
1,2,1,FB-001,ESL-ANN-001,4,4,5,4,5,5,2026-06-11T08:20:28,2026-06-11T08:20:28,339.1572051048279
