id,expert_id,batch_id,item_type,item_id,action,details,created_at,updated_at,duration_seconds
106,1,1,feedback_likert,FB-012,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 4, ""student_readiness_score"": 5, ""usefulness_score"": 4, ""clarity_score"": 4, ""direct_release_score"": 4}",2026-06-11T12:57:11,2026-06-11T12:57:11,57.14148688316345
105,1,1,feedback_likert,FB-011,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-11T12:56:14,2026-06-11T12:56:14,7.6524269580841064
104,1,1,feedback_likert,FB-011,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 4, ""student_readiness_score"": 1, ""usefulness_score"": 2, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-11T12:55:59,2026-06-11T12:55:59,4.44779896736145
103,1,1,feedback_likert,FB-011,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 4, ""student_readiness_score"": 1, ""usefulness_score"": 2, ""clarity_score"": 1, ""direct_release_score"": 2}",2026-06-11T12:55:49,2026-06-11T12:55:49,49.86790585517883
102,1,1,feedback_likert,FB-010,save_likert_feedback_rating,"{""correctness_score"": 4, ""meaning_preservation_score"": 3, ""student_readiness_score"": 5, ""usefulness_score"": 2, ""clarity_score"": 4, ""direct_release_score"": 3}",2026-06-11T12:54:59,2026-06-11T12:54:59,32.74205470085144
101,1,1,feedback_likert,FB-009,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 1, ""student_readiness_score"": 2, ""usefulness_score"": 2, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:54:26,2026-06-11T12:54:26,57.70852875709534
100,1,1,feedback_likert,FB-008,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 3, ""student_readiness_score"": 4, ""usefulness_score"": 3, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:53:28,2026-06-11T12:53:28,38.28636956214905
99,1,1,feedback_likert,FB-007,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-11T12:52:50,2026-06-11T12:52:50,4.083830833435059
98,1,1,feedback_likert,FB-007,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 2, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-11T12:52:42,2026-06-11T12:52:42,82.74995255470276
97,1,1,feedback_likert,FB-006,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:51:09,2026-06-11T12:51:09,10.887871265411377
96,1,1,feedback_likert,FB-004,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 4, ""direct_release_score"": 4}",2026-06-11T12:47:54,2026-06-11T12:47:54,1.447014570236206
95,1,1,feedback_likert,FB-003,save_likert_feedback_rating,"{""correctness_score"": 1, ""meaning_preservation_score"": 1, ""student_readiness_score"": 1, ""usefulness_score"": 1, ""clarity_score"": 1, ""direct_release_score"": 1}",2026-06-11T12:47:52,2026-06-11T12:47:52,1.5453217029571533
94,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:47:50,2026-06-11T12:47:50,4.319459915161133
93,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:47:46,2026-06-11T12:47:46,6.670713663101196
92,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:44:43,2026-06-11T12:44:43,0.17581510543823242
88,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:44:42,2026-06-11T12:44:42,2.1931416988372803
89,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:44:42,2026-06-11T12:44:42,0.5099997520446777
90,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:44:42,2026-06-11T12:44:42,0.11576104164123535
91,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:44:42,2026-06-11T12:44:42,0.08955717086791992
87,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:39:13,2026-06-11T12:39:13,8.253345727920532
86,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:37:36,2026-06-11T12:37:36,7.078135013580322
85,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:37:18,2026-06-11T12:37:18,1.8204658031463623
83,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:37:00,2026-06-11T12:37:00,0.12806081771850586
84,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:37:00,2026-06-11T12:37:00,0.38005709648132324
79,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:36:59,2026-06-11T12:36:59,17.49519109725952
80,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:36:59,2026-06-11T12:36:59,0.08462715148925781
81,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:36:59,2026-06-11T12:36:59,0.4319770336151123
82,1,1,feedback_likert,FB-002,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 3, ""clarity_score"": 5, ""direct_release_score"": 4}",2026-06-11T12:36:59,2026-06-11T12:36:59,0.17793774604797363
78,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:54,2026-06-11T12:36:54,13.977758646011353
75,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:38,2026-06-11T12:36:38,0.16867947578430176
76,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:38,2026-06-11T12:36:38,0.17815613746643066
77,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:38,2026-06-11T12:36:38,0.22820687294006348
73,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:37,2026-06-11T12:36:37,0.766204833984375
74,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:37,2026-06-11T12:36:37,0.1392378807067871
72,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:17,2026-06-11T12:36:17,9.28129529953003
71,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:08,2026-06-11T12:36:08,0.16422462463378906
70,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:36:07,2026-06-11T12:36:07,0.7098267078399658
69,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:35:28,2026-06-11T12:35:28,4.374040365219116
68,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:34:38,2026-06-11T12:34:38,6.731534957885742
67,1,1,feedback_likert,FB-001,save_likert_feedback_rating,"{""correctness_score"": 3, ""meaning_preservation_score"": 4, ""student_readiness_score"": 4, ""usefulness_score"": 4, ""clarity_score"": 3, ""direct_release_score"": 3}",2026-06-11T12:33:25,2026-06-11T12:33:25,1.5336096286773682
66,1,1,session,1__1__blind,select_session,"{""mode"": ""Blind Annotation Mode""}",2026-06-11T12:32:52,2026-06-11T12:32:52,0.0
64,1,1,feedback_likert,FB-005,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T12:30:36,2026-06-11T12:30:36,0.7251439094543457
65,1,1,feedback_likert,FB-005,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T12:30:36,2026-06-11T12:30:36,0.28154468536376953
63,1,1,feedback_likert,FB-005,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T12:30:35,2026-06-11T12:30:35,1.2230451107025146
62,1,1,feedback_likert,FB-005,save_likert_feedback_rating,"{""correctness_score"": 5, ""meaning_preservation_score"": 5, ""student_readiness_score"": 5, ""usefulness_score"": 5, ""clarity_score"": 5, ""direct_release_score"": 5}",2026-06-11T12:29:33,2026-06-11T12:29:33,1.5114736557006836
