id,expert_id,batch_id,feedback_item_id,essay_id,correctness_score,meaning_preservation_score,student_readiness_score,usefulness_score,clarity_score,direct_release_score,created_at,updated_at,duration_seconds
66,2,2,FB-030,ESL-ANN-006,1,5,1,5,1,1,2026-06-13T15:05:53,2026-06-13T15:05:53,43.78444814682007
65,2,2,FB-029,ESL-ANN-006,1,1,1,1,5,1,2026-06-13T15:05:09,2026-06-13T15:05:09,30.08733558654785
64,2,2,FB-028,ESL-ANN-006,1,1,1,1,5,1,2026-06-13T15:04:39,2026-06-13T15:04:39,38.35097813606262
63,2,2,FB-027,ESL-ANN-006,5,5,5,5,5,5,2026-06-13T15:04:00,2026-06-13T15:04:00,40.494805097579956
62,2,2,FB-026,ESL-ANN-005,5,5,5,5,5,5,2026-06-13T15:03:20,2026-06-13T15:03:20,33.07804274559021
61,2,2,FB-025,ESL-ANN-005,1,1,1,1,1,1,2026-06-13T15:02:47,2026-06-13T15:02:47,73.97619199752808
60,2,2,FB-024,ESL-ANN-005,1,1,1,1,5,1,2026-06-13T15:01:33,2026-06-13T15:01:33,50.67267370223999
59,2,2,FB-023,ESL-ANN-005,1,1,1,1,5,1,2026-06-13T15:00:42,2026-06-13T15:00:42,53.853872776031494
58,2,2,FB-022,ESL-ANN-005,5,5,5,5,5,5,2026-06-13T14:59:48,2026-06-13T14:59:48,132.45063734054565
57,2,2,FB-021,ESL-ANN-005,5,5,5,5,5,5,2026-06-13T14:57:35,2026-06-13T14:57:35,225.2799572944641
56,2,2,FB-020,ESL-ANN-004,1,1,1,1,5,1,2026-06-13T14:53:50,2026-06-13T14:53:50,271.52647280693054
55,2,2,FB-019,ESL-ANN-004,1,1,1,1,5,1,2026-06-13T14:49:18,2026-06-13T14:49:18,73.8071460723877
54,2,2,FB-018,ESL-ANN-004,1,1,1,1,1,1,2026-06-13T14:48:04,2026-06-13T14:48:04,76.35105419158936
53,2,2,FB-017,ESL-ANN-004,1,1,1,1,5,1,2026-06-13T14:46:48,2026-06-13T14:46:48,38.878780364990234
52,2,2,FB-016,ESL-ANN-004,1,1,1,1,5,1,2026-06-13T14:46:09,2026-06-13T14:46:09,65.76399779319763
51,2,2,FB-015,ESL-ANN-004,5,5,5,5,5,5,2026-06-13T14:45:03,2026-06-13T14:45:03,52.446062088012695
50,2,2,FB-014,ESL-ANN-004,3,2,3,2,5,2,2026-06-13T14:44:10,2026-06-13T14:44:10,81.24118137359619
49,2,2,FB-013,ESL-ANN-004,5,5,5,5,5,5,2026-06-13T14:42:49,2026-06-13T14:42:49,45.277599573135376
